symbol,LK01,LK02,LK03,LK04_treated,LK05_treated,LK06_treated,log2FoldChange,pvalue,padj,qval
Gm12043,105.473907,67.14462168,128.5582305,67.58328458,72.08235363,84.09483997,-0.430763563,0.036204255,0.152591313,0.196866435
Mdh1,12574.42946,13144.85094,14356.89343,11437.54933,10994.33145,9602.939534,-0.323163225,0.000108588,0.001590895,0.002127363
Wdpcp,55.76781289,65.85337895,55.09638449,35.63482278,49.63047299,56.44722135,-0.314304394,0.267211171,0.545699004,0.644953828
Pgam1-ps1,0,0,0,0,0,0,0,1,NA,1
Ehbp1,220.646564,130.4155152,166.5135176,169.572605,103.9876577,145.1499978,-0.308618352,0.134020808,0.365738049,0.449684716
Tmem17,30.30859396,23.24236904,25.7116461,18.43180489,21.27020271,25.3436504,-0.284379371,0.412225369,0.681431967,0.773092974
Gm12057,2.424687517,0,1.2243641,3.686360977,1.181677928,3.455952327,1.180734739,0.581259275,NA,0.877353078
B3gnt2,235.1946892,246.6273604,235.0779072,233.4695286,242.2439753,230.3968218,-0.021447568,0.851347153,0.94170876,0.974485319
Commd1b,408.5598466,400.2852446,393.020876,388.2966896,393.4987501,370.9388831,-0.060573039,0.51997925,0.759971325,0.844146397
9130230N09Rik,19.39750014,24.53361177,14.6923692,18.43180489,23.63355857,10.36785698,-0.160858148,0.73548926,0.882455621,0.932064464
Commd1,306.7229709,312.4807393,329.3539428,387.0679026,334.4148537,291.4519796,0.093121101,0.434895091,0.69850165,0.789289856
Zrsr1,206.0984389,265.9960013,263.2382815,283.8497952,275.3309573,223.4849172,0.089943874,0.575747763,0.79398332,0.87495031
Cct4,1368.736103,1282.204026,1447.198366,1352.894479,1345.93116,1245.294822,-0.055887722,0.455824164,0.712212199,0.801739267
Fam161a,44.85671906,32.28106811,34.28219479,44.23633173,28.36027028,32.25555506,-0.091271208,0.802505556,0.918103819,0.95696132
Gm12059,12.12343759,10.3299418,13.4680051,7.372721954,3.545033785,6.911904655,-1.014502505,0.068142355,0.235846842,0.298115563
